name,lat,lon,people,houses
강남,37.4936175,127.0658876,202,508
강동,37.5491816,127.1488766,8,43
강북,37.6406867,127.0071573,14,48
강서,37.5580016,126.8309799,3,42
관악,37.4650777,126.9488099,168,370
광진,37.5454873,127.0892836,100,322
구로,37.4950016,126.8559799,24,94
금천,37.4580777,126.9028099,4,8
노원,37.6520260,127.0750836,55,63
도봉,37.6650260,127.0350836,9,12
동대문,37.5802178,127.0545490,202,301
동작,37.4997204,126.9539384,57,218
마포,37.5540016,126.9129799,429,814
서대문,37.5760845,126.9395561,161,467
서초,37.4725029,127.0351935,158,289
성동,37.5507693,127.0441966,71,125
성북,37.6000691,127.0224044,84,190
송파,37.5054088,127.1161107,34,60
양천,37.5160016,126.8559799,3,11
영등포,37.5169582,126.9147458,59,138
용산,37.5304248,126.9820082,114,231
은평,37.6176000,126.9301000,17,81
종로,37.5940682,126.9740695,79,178
중구,37.5567693,126.9971966,93,188
중랑,37.5960260,127.0950836,15,27